# prefix, country_code,region_code,city,postal
45.187.60.0/22,BR,BR-RJ,Saquarema,28993000
45.187.60.0/23,BR,BR-RJ,Saquarema,28993000
45.187.62.0/23,BR,BR-RJ,Saquarema,28993000
45.187.62.0/24,BR,BR-RJ,Saquarema,28993000
2804:64e8::/32,BR,BR-RJ,Saquarema,28993000
2804:64e8::/33,BR,BR-RJ,Saquarema,28993000
2804:64e8::/34,BR,BR-RJ,Saquarema,28993000
2804:64e8:4000::/34,BR,BR-RJ,Saquarema,28993000
2804:64e8:8000::/33,BR,BR-RJ,Saquarema,28993000
2804:64e8:8000::/34,BR,BR-RJ,Saquarema,28993000
2804:64e8:c000::/34,BR,BR-RJ,Saquarema,28993000
